TeamId;ES L1 LW;ES L1 C;ES L1 RW;ES L1 LD;ES L1 RD;ES L2 LW;ES L2 C;ES L2 RW;ES L2 LD;ES L2 RD;ES L3 LW;ES L3 C;ES L3 RW;ES L3 LD;ES L3 RD;ES L4 LW;ES L4 C;ES L4 RW;ES L4 LD;ES L4 RD;PP5on4 L1 LW;PP5on4 L1 C;PP5on4 L1 RW;PP5on4 L1 LD;PP5on4 L1 RD;PP5on4 L2 LW;PP5on4 L2 C;PP5on4 L2 RW;PP5on4 L2 LD;PP5on4 L2 RD;PP5on3 L1 LW;PP5on3 L1 C;PP5on3 L1 RW;PP5on3 L1 LD;PP5on3 L1 RD;PP5on3 L2 LW;PP5on3 L2 C;PP5on3 L2 RW;PP5on3 L2 LD;PP5on3 L2 RD;PP4on3 L1 F1;PP4on3 L1 F2;PP4on3 L1 LD;PP4on3 L1 RD;PP4on3 L2 F1;PP4on3 L2 F2;PP4on3 L2 LD;PP4on3 L2 RD;PK4on5 L1 F1;PK4on5 L1 F2;PK4on5 L1 LD;PK4on5 L1 RD;PK4on5 L2 F1;PK4on5 L2 F2;PK4on5 L2 LD;PK4on5 L2 LD;PK4on5 L3 F1;PK4on5 L3 F2;PK4on5 L3 LD;PK4on5 L3 LD;PK3on5 L1 F1;PK3on5 L1 LD;PK3on5 L1 RD;PK3on5 L2 F1;PK3on5 L2 LD;PK3on5 L2 LD;PK3on4 L1 F1;PK3on4 L1 LD;PK3on4 L1 RD;PK3on4 L2 F1;PK3on4 L2 LD;PK3on4 L2 LD;4on4 L1 F1;4on4 L1 F2;4on4 L1 LD;4on4 L1 RD;4on4 L2 F1;4on4 L2 F2;4on4 L2 LD;4on4 L2 LD;3on3 L1 F1;3on3 L1 LD;3on3 L1 RD;3on3 L2 F1;3on3 L2 LD;3on3 L2 LD;Shootout 1;Shootout 2;Shootout 3;Shootout 4;Shootout 5;Goalie 1;Goalie 2;Extra Attacker 1;Extra Attacker 2;
50;1387;1318;3474;1142;1274;2526;645;1030;1268;2690;491;273;2857;2720;1821;1092;2652;2830;;;1387;2857;3474;1274;1142;2526;2652;1030;491;2720;1387;2857;3474;1274;1142;2526;2652;1030;491;2720;1387;3474;1142;1274;2857;1030;2526;2720;1030;1318;1268;1274;273;645;1142;2690;1092;2830;2720;1821;1318;1268;1274;1030;1142;2690;1318;1268;1274;1030;1142;2690;3474;1387;1142;1274;1030;1318;1268;2690;1387;3474;1274;1030;1318;1142;491;2857;1274;1387;1030;2751;2598;1387;1030;
51;1616;172;1111;1420;960;2467;1536;2100;1955;5316;2172;2844;2791;4880;7190;5279;2194;5108;;;1616;1536;1111;1420;960;5108;2194;2100;5316;4880;1616;1536;1111;1420;960;5108;2194;2100;5316;4880;1536;1111;960;1420;2100;1616;2194;5316;2172;172;1955;7190;1536;2100;1420;960;2844;2467;4880;5316;2172;1955;7190;172;1420;960;2172;1955;7190;172;1420;960;1111;172;1420;960;1616;1536;1955;5316;1111;172;1420;1616;1536;960;1111;2791;5108;2172;960;2033;2940;5108;2467;
52;1316;1222;634;2386;511;1367;1220;2664;305;1549;4774;;7023;;5686;1761;2967;1671;;;1316;1222;634;1220;511;1367;;2664;7023;5686;1316;1222;634;1220;511;1367;;2664;4774;5686;1220;1222;634;511;1316;;2664;5686;1220;2967;2386;305;1316;634;;1549;;1222;5686;511;2967;2386;305;1220;;1549;2967;2386;305;1220;;1549;1220;1222;2386;511;;634;305;1549;1220;1222;2386;;634;511;;1220;1367;4774;1316;1046;2625;1220;1222;
53;1242;2332;428;582;1256;2225;2784;2658;70;911;847;2028;2835;5031;1410;2696;813;5471;;;1242;2332;428;1256;5031;2225;2028;2658;847;70;1242;2332;428;1256;5031;2225;2028;2658;847;70;2332;1242;428;1256;2028;2658;2225;5031;2835;2784;582;911;2658;1242;70;1410;813;2028;5031;1256;2784;582;911;2835;70;1410;2784;582;911;2835;70;1410;2332;1242;582;1256;428;2784;70;911;2332;1242;1256;2784;428;911;1242;813;2658;2028;428;2538;1259;1242;2332;
54;704;1385;;830;1719;774;434;806;1598;7150;2815;2024;1995;1369;2050;5620;;2828;;;704;2024;;830;1598;774;2815;806;1369;2050;704;2024;;830;1598;774;2815;806;1369;2050;774;704;1598;830;806;;1995;1369;1385;434;830;1719;774;704;1598;7150;806;;1369;2050;1385;830;1719;434;1598;7150;1385;830;1719;434;1598;7150;1385;704;830;1719;;774;1598;7150;704;1385;830;;774;1598;806;;1385;774;1995;427;778;2024;5620;
55;;;1567;2480;1631;2770;;2903;2866;1561;2803;2379;5188;4457;;4668;5630;2304;;;;;1567;1561;2866;2803;;2903;5188;4457;;;1567;1561;2866;2803;;2903;5188;4457;;;1567;1561;5188;2903;;2866;;5630;2480;1631;2770;;2866;;2803;;4457;1561;5630;2480;1631;;2866;;5630;2480;1631;;2866;;;;2480;1631;2903;1567;2866;1561;;;1631;2903;1567;2480;1567;1631;;2379;5188;1311;815;;;
56;622;1562;819;1103;1247;2796;2811;2629;391;;437;2864;6938;;;2354;6621;5101;;;2796;2864;819;1247;391;437;2629;6938;;1103;2796;2864;819;1247;391;437;2811;2629;6938;;2796;819;437;1247;6938;2864;2629;391;819;622;1103;;1562;2796;;391;437;2811;;1247;622;1103;;819;;391;622;1103;;819;;391;819;622;1103;1247;1562;2796;391;;819;622;1103;1562;2796;391;2796;1562;2864;437;819;2081;430;622;819;
57;598;2945;4587;933;;;4602;2402;;1583;648;5563;1851;1491;348;1747;2485;4853;;;598;4602;4587;933;;648;5563;2402;1747;1491;598;4602;4587;933;;648;5563;2402;1747;1491;648;598;4602;933;1747;4587;2402;;;2945;;348;1851;598;1491;1583;648;4587;933;;2945;;348;;1491;1583;2945;;348;;1491;1583;;598;933;1583;2945;648;;;;598;933;2945;648;;4602;2402;648;2485;4853;593;907;;4602;
58;1830;393;320;1993;965;1792;1785;934;4906;827;1618;902;1596;2324;2805;2809;4909;1860;;;1830;1785;1596;965;827;1792;902;1860;2809;1993;1830;1785;1596;965;827;1792;902;1860;1618;1993;1792;1830;1596;965;1618;1785;2809;827;320;393;1993;2805;2809;934;4906;965;4909;902;2324;827;393;1993;2805;320;4906;965;393;1993;2805;934;4906;965;393;1830;1993;965;934;1792;4906;827;393;1830;965;1596;1792;827;1830;902;1596;1860;1618;1288;2532;902;934;
59;1778;2928;5075;2849;2970;356;2040;767;425;500;1952;2203;1861;2201;2613;4535;5562;5544;;;1778;2040;5075;2849;425;1952;2203;4535;2928;2201;1778;2040;5075;2849;425;1952;2203;4535;2928;2201;5075;1778;425;2849;2203;2040;1952;2201;2928;356;2201;2970;767;1861;2849;500;1778;5544;425;2613;356;2201;500;2928;425;2970;356;2201;2970;2928;2849;500;356;1778;425;2970;2928;5075;2849;500;356;1778;425;2928;5075;2849;5075;1778;2928;356;425;349;35;1778;5075;
60;436;677;1229;1864;2042;6918;798;2468;2364;1892;1193;1362;2279;2932;764;2929;2700;2464;;;436;677;2279;2929;2932;6918;798;1229;1864;2042;436;677;2279;2929;2932;6918;798;1229;1864;2042;2279;436;2929;2932;677;1229;6918;1864;677;6918;2364;2042;1193;2468;1864;1892;2700;798;2932;764;677;2364;2042;6918;1864;1892;677;2364;2042;6918;1864;1892;677;436;1864;2042;1193;6918;2364;1892;677;436;2042;1229;6918;1864;436;1193;2929;1362;6918;335;2192;6918;677;
61;1329;2853;4432;1965;;1949;1721;1126;1191;2838;2659;6492;;1976;6767;2522;1509;6516;;;1329;1721;4432;1965;1191;1949;2853;;2659;6767;1329;1721;4432;1191;1965;1949;2853;;2659;6767;4432;1329;1191;1965;2659;1949;2853;6767;6492;1126;1976;2838;6516;1509;1965;;4432;1329;1191;6767;1126;1976;2838;6492;1965;;1126;1976;2838;6492;1965;;4432;1329;1965;;1126;1949;1191;2838;4432;1329;1965;1126;1949;1191;1329;2659;1949;1509;4432;1458;1865;4432;1949;
62;6835;5339;7478;6975;4982;6773;3885;6824;5067;6137;6853;8282;5340;7588;7544;8388;;6942;;;6835;5339;7478;6975;4982;6773;3885;6824;6137;7544;6835;5339;7478;6975;4982;6773;3885;6824;6137;7544;6773;6835;4982;6975;5339;7478;7544;6137;6853;6824;5067;4982;3885;5340;6975;6137;8388;6942;7588;7544;6853;5067;4982;6824;6975;6137;6853;5067;4982;6824;6975;6137;6773;6835;6975;4982;6824;7478;5067;6137;6773;6835;6975;6853;7478;4982;7478;5339;6773;6975;6137;4940;7501;6773;6942;
63;5223;5262;4984;2029;6768;5374;4892;4947;6195;6670;6954;6947;7632;4914;5077;5146;8454;8342;;;5374;5262;4984;2029;5077;5146;4892;7632;6947;4914;5374;5262;4984;2029;5077;5146;4892;7632;6947;4914;4984;5262;4892;2029;5146;5374;6947;5077;5223;6954;2029;6768;8342;4947;6195;6670;8454;5262;4914;5077;5223;2029;6768;6954;6195;6670;5223;2029;6768;6954;6195;6670;5223;5262;2029;6768;4892;4984;6195;6670;5223;5262;2029;4892;4984;6768;2029;4984;5262;7632;5223;4942;8927;4984;5262;
64;8120;5246;6706;6675;3784;3825;8381;8158;6132;6991;;6818;5360;5268;5334;8204;8273;8253;;;8120;5246;6706;3784;6675;;8381;8158;5360;6991;8120;5246;6706;3784;6675;;8381;8158;5360;6991;6706;5246;6675;3784;8120;8158;8381;6132;6818;3825;6675;5334;8273;8204;6132;3784;6706;5246;5268;6991;3825;6675;5334;6818;6132;3784;3825;6675;5334;6818;6132;3784;6706;5246;6675;3784;8158;8120;6132;6991;6706;5246;3784;8158;8120;6675;8158;8381;;8120;8253;5377;;8120;8204;
65;5391;6762;4949;4261;5113;;8431;7468;7491;5234;6820;9639;6120;5249;7569;9799;9834;8449;;;5391;6762;4949;;5249;9834;8431;7468;9639;5113;5391;6762;4949;;5249;9834;8431;7468;9639;5113;6762;5391;4949;5249;7468;;8431;5113;6120;6820;4261;5113;5391;4949;7491;5234;;6762;5249;7569;6820;4261;5113;6120;7491;5234;6820;4261;5113;6120;7491;5234;6762;5391;4261;5113;;4949;7491;5234;6762;5391;5113;;4949;4261;5391;6762;;4949;7468;6077;8395;5391;6762;
66;8133;5354;4924;5402;8117;5018;7592;6151;4999;5055;4955;5343;6787;7555;6169;6745;8919;8437;;;8133;5354;6151;8117;5402;4955;7592;6787;4924;4999;8133;5354;6151;8117;5402;4955;7592;6787;4924;4999;6151;5354;6787;8117;8437;4924;8133;5402;5343;5354;5402;5055;5018;4924;4999;8117;4955;8133;7555;6169;5354;5402;5055;5343;4999;8117;5354;5402;5055;5343;4999;8117;4924;5354;5402;8117;6151;8133;4999;5055;4924;5354;5402;6151;8133;8117;5354;6151;4924;8133;6787;6664;8390;5354;4924;
67;4887;7601;5109;4081;4321;6800;6183;5238;6740;8349;8152;8419;5133;4990;6810;5057;8151;5121;;;8152;7601;5238;4321;4990;5121;6183;5109;5133;4081;8152;7601;5238;4321;4990;5121;6183;5109;5133;4081;5238;7601;6183;4321;8152;5109;5121;4990;6800;5109;4081;8349;4887;8151;6740;6810;5057;8419;4990;4321;5109;4081;8349;6800;6740;6810;5109;4081;8349;6800;6740;6810;4887;5109;4081;4321;5238;7601;6740;8349;4887;5109;4321;5238;7601;4081;5109;6183;4321;5238;5121;6751;9579;5109;6183;
68;7586;6072;4341;4976;7013;6182;6969;6678;6823;6074;8935;6848;3956;4928;8144;8231;6104;6714;;;7586;6072;4341;6074;6823;6182;6848;6678;4928;4976;7586;6072;4341;6074;6823;6182;6848;6678;4928;4976;6848;6072;6823;6074;6104;7586;8231;4928;6678;4341;4976;7013;6969;3956;6823;8144;8935;6072;4928;6074;4341;4976;7013;6678;6823;8144;4341;4976;7013;6678;6823;8144;4341;6072;4976;7013;3956;6678;6823;6074;4341;6072;7013;3956;6678;6074;4341;6182;6072;7586;6104;6720;8179;6072;4341;
69;6159;4399;;5123;8202;4944;4934;6897;4974;9766;7009;8244;4902;;8931;4359;8408;9734;;;4934;4399;4902;8408;5123;4359;9734;;6897;4974;4934;4399;4902;8408;5123;4359;9734;;6897;4974;4934;4399;4902;5123;9734;8408;4359;4974;;8244;5123;8202;7009;4944;4974;9766;4934;4399;;8931;;5123;8202;8244;4974;9766;;5123;8202;8244;4974;9766;4399;;5123;8202;4934;6159;4974;9766;6159;;5123;4399;4934;4974;;4944;6897;4399;4902;5372;5183;6159;;
70;6904;5229;4890;5076;6794;8298;5363;5275;8441;8351;6687;3855;8453;8243;8398;7470;7566;6103;;;8298;5363;4890;3855;6794;6904;5229;5275;8351;8398;8298;5363;4890;3855;6794;6904;5229;5275;8351;8398;3855;5363;8298;6794;4890;6904;5275;8351;5229;6687;5076;6794;6904;4890;8243;8351;3855;5363;8441;8398;5229;5076;8243;6687;8441;6794;5229;5076;8243;6687;8441;6794;6904;5229;5076;6794;5363;4890;8441;8351;6904;5229;5076;5363;4890;6794;6904;8298;5229;3855;5363;5257;4919;6904;5363;
71;5314;6148;8352;8114;5163;6895;6043;4074;6690;6683;9553;6765;7467;9788;6693;8982;9647;7627;;;5314;6148;8352;5163;6690;9553;6043;4074;6765;6683;5314;6148;8352;5163;6690;9553;6043;4074;6765;6683;5314;8352;6148;5163;6765;6043;4074;6690;6895;4074;8114;6693;8352;5314;6690;5163;6043;7627;9788;6683;4074;8114;6693;6895;6690;5163;4074;8114;6693;6895;6690;5163;4074;8352;8114;5163;6148;5314;6690;6683;4074;8352;5163;6148;5314;8114;5314;6148;6895;6043;8352;6945;8361;8352;5314;
72;6978;5072;5093;4952;5244;6793;6705;4929;8218;5166;5330;6038;5065;6089;6999;7522;6846;5079;;;6793;5072;4929;6705;4952;6978;6038;5065;5244;8218;6793;5072;4929;6705;4952;6978;6038;5065;5244;8218;6705;5072;6038;4952;5065;4929;8218;5244;6978;5093;4952;5244;5072;6846;8218;5166;7522;5330;6089;6999;5093;4952;5244;6978;8218;5166;5093;4952;5244;6978;8218;5166;6705;5072;4952;5244;6038;5093;8218;5166;6705;5072;4952;6038;5093;5244;5072;6038;6793;5079;6705;5054;6825;5072;7522;
73;5008;4938;6911;2027;4057;5362;6177;5152;6068;5061;6053;7519;5303;7475;8337;7594;6189;6791;;;5008;7519;6911;6791;2027;5362;6177;5152;4938;4057;5008;7519;6911;6791;2027;5362;6177;5152;4938;4057;5008;6911;7519;2027;5152;6791;6177;4057;5152;4938;2027;4057;7594;5362;6068;5061;6189;6911;7475;8337;5152;2027;4057;4938;6068;5061;5152;2027;4057;4938;6068;5061;5152;6911;2027;4057;4938;5008;6068;5061;5152;6911;2027;4938;5008;4057;5152;5008;4938;7519;6911;6799;8403;5152;6911;
74;5165;6858;6059;6739;8330;6790;2032;6950;8238;6187;8210;5110;8378;7474;6179;8360;;5221;;;5165;6858;6059;2032;6179;8360;5110;6950;8238;6739;5165;6858;6059;2032;6179;8360;5110;6950;6739;8238;6059;6858;2032;6179;8360;5165;8238;6739;6790;6059;7474;6187;5165;2032;6739;8330;6950;6858;8238;6179;6059;7474;6187;6790;6739;8330;6059;7474;6187;6790;6739;8330;6059;6858;6739;6187;5165;2032;8238;8330;6059;6858;8330;5165;2032;6179;6059;2032;6950;5165;6858;7528;5090;6858;6059;
75;6838;5071;5375;6964;6925;5389;5328;7639;8410;8320;;8439;9075;5006;6856;;7547;8957;;;5071;5328;5375;8410;6964;5389;8957;9075;6925;6856;5071;5328;5375;6964;8410;5389;8957;9075;6856;6925;5071;5328;6964;8410;5375;8957;6856;6925;5375;5071;5006;8320;7547;8439;6964;6925;6838;5328;8410;6856;5071;5006;8320;5375;6964;6925;5071;5006;8320;5375;6964;6925;5328;5071;6964;6925;8439;5375;8410;8320;5328;5071;6964;8439;5375;8410;5071;5389;8957;7547;5328;3837;5348;5071;8957;
76;5321;6170;6811;4988;5266;8319;4957;4101;4997;8442;9891;7572;5182;6836;6058;9009;7536;5184;;;5321;6170;6811;4957;5266;8319;7572;4101;5184;4988;5321;6170;6811;4957;5266;8319;7572;4101;5184;4988;4957;6170;5321;5266;6811;7572;4101;4988;6170;4957;4988;5266;7572;5321;4997;8442;6811;4101;6836;6058;6170;4988;5266;4957;4997;8442;6170;4988;5266;4957;4997;8442;4957;6170;4988;5266;7572;5321;4997;8442;4957;6170;5266;7572;5321;4997;7572;6170;6811;5182;4101;6701;9564;7572;6170;
77;8124;5191;6036;7503;5168;7616;5043;;5861;6805;6948;6992;8357;;8236;;5156;4901;;;8124;5191;6036;5043;5168;6948;6992;;5156;6805;8124;5191;6036;5043;5168;7616;6948;;6992;6805;5043;5191;6992;5168;5156;6948;6036;6805;4901;5156;7503;5168;7616;5191;5861;8236;;;;6805;5156;7503;5168;4901;5861;8236;5156;7503;5168;4901;5861;8236;5043;5191;7503;5168;6948;6992;5861;6805;5043;5191;5168;6948;6992;6805;5191;6992;5168;6948;6805;5107;6905;5191;5043;
78;6666;8260;6914;5308;7012;4033;9823;5094;7623;6046;6817;8333;6983;5136;7489;5023;;5323;;;6666;9823;5094;7623;5308;8333;8260;6914;6817;7012;6666;9823;5094;7623;5308;8333;8260;6914;6817;7012;6666;5094;8333;7623;6817;6914;9823;5308;6666;6983;5136;7012;4033;6914;5308;6046;6817;5323;7623;7489;6983;5136;7012;6666;5308;6046;6983;5136;7012;6666;5308;6046;6914;6666;5308;7012;5094;4033;7623;6046;6914;6666;5308;5094;4033;7012;6666;8333;7623;6983;5094;5088;6916;6666;6983;
79;6061;8122;6171;2038;5241;7515;8341;6812;6668;4970;7583;6066;6746;6722;5147;8278;8230;8162;;;7515;8122;6746;5241;6722;7583;6066;8162;8278;4970;7515;8122;6746;5241;6722;7583;6066;8162;8278;4970;6746;8122;6066;5241;7515;8162;7583;6722;6171;6061;2038;4970;6812;8341;6668;5147;8122;8230;6722;5241;6061;2038;4970;6171;6668;5147;6061;2038;4970;6171;6668;5147;6812;6171;2038;5241;8122;6061;6668;4970;6812;6171;5241;6061;8122;4970;6066;8122;6061;6746;6171;6093;6735;6066;8341;
80;8227;6111;6789;4052;5364;6961;8450;5010;6698;8373;8953;8954;6814;6976;8440;9888;9881;6163;;;8953;6111;5010;8373;5364;8227;8450;6163;4052;6976;8953;6111;5010;8373;5364;8227;8450;6163;4052;6976;5010;6111;8450;8373;8953;6163;4052;5364;6789;6111;6698;5364;6814;8227;4052;8440;6961;5010;6976;8373;6789;6698;5364;6111;4052;8440;6789;6698;5364;6111;4052;8440;6789;6111;4052;5364;6814;5010;6698;8373;6789;6111;5364;6814;5010;8373;6111;5364;8373;8450;6163;8300;6087;6111;6789;
81;5220;6677;7604;6801;5073;5178;6181;6758;5347;5012;6831;8404;8318;5144;5352;6806;8920;9725;;;5220;6181;7604;5073;5012;5178;6677;6758;6801;5144;5220;6181;7604;5073;5012;5178;6677;8318;6801;5347;5178;5220;5012;5073;6806;6831;6181;6801;5220;7604;5347;5352;6758;6677;5144;5073;9725;8404;6801;5012;7604;5347;5352;5220;5144;5073;7604;5347;5352;5220;5144;5073;5178;5220;6801;5073;7604;6831;5347;5012;5178;5220;5073;7604;6831;5012;5220;6758;5178;5347;7604;8206;7575;5220;6758;
82;5333;5317;7625;8119;5203;5253;4277;4904;7610;6968;6688;7565;6027;8980;9749;9797;9711;9680;;;5333;5317;7625;4904;5203;5253;4277;6027;9749;7610;5333;5317;7625;4904;5203;5253;4277;6027;9749;7610;7625;5333;4904;5203;6027;5317;5253;9749;6688;5333;8119;6968;4904;7625;7610;5203;5317;6027;8980;9749;5333;8119;6968;6688;7610;5203;5333;8119;6968;6688;7610;5203;7625;5333;8119;5203;5317;4904;7610;6968;7625;5333;5203;5317;4904;6968;5317;7625;6027;5333;4904;6840;6921;5333;7625;
83;5298;6813;4190;5282;7558;4271;6901;6116;5324;6125;6776;8377;5135;6188;9591;6055;7520;8156;;;4271;6813;5135;4190;5282;5298;6901;8377;6776;5324;4271;6813;5135;5298;5282;6776;6901;8377;4190;5324;6813;5135;5298;5282;4190;4271;8377;5324;6116;4190;5282;6125;6813;5135;5324;7558;5298;4271;6188;9591;4190;5282;6125;6116;5324;7558;4190;5282;6125;6116;5324;7558;6116;4190;5282;7558;6813;5135;5324;9591;6116;4190;5282;6813;5135;5324;5135;4271;6901;5298;6813;8364;5154;6813;6116;
84;4808;6466;2376;4637;4711;6619;7348;4604;4756;5910;6405;7868;4595;6474;6627;5877;9459;5950;;;4808;6466;2376;6405;4711;6619;7348;4595;7868;4637;4808;6466;2376;6405;4711;6619;7348;4595;7868;4637;4808;2376;6405;4711;7868;6619;4595;4637;2376;6619;4637;4711;4604;9459;4756;5910;7868;6466;6474;6627;6619;4637;4711;2376;4756;5910;6619;4637;4711;2376;4756;5910;6619;2376;4637;4711;4604;4808;4756;5910;6619;2376;4711;4604;4808;4637;6619;2376;4604;5877;4808;4697;7801;2376;6619;
85;6662;2469;4741;4561;6359;5929;7904;6543;4645;7806;5955;6483;7825;9496;6604;5971;6589;7877;;;6662;2469;7825;5955;6604;5971;7904;4741;5929;9496;6662;2469;7825;5955;6604;5929;7904;4741;5971;9496;5955;6662;2469;6604;5929;5971;6589;9496;4741;2469;4561;6359;6543;5929;4645;7806;7877;7904;9496;6604;2469;4561;6359;4741;4645;7806;2469;4561;6359;4741;4645;7806;4741;2469;4561;6359;5929;6662;4645;7806;4741;2469;6359;5929;6662;7806;4741;2469;7806;7825;5955;7333;8839;2469;4741;
86;6413;4820;4492;4792;4768;4735;8067;4632;6521;6555;7953;5894;7378;5965;;5919;7819;6404;;;6413;4820;4492;8067;4768;7953;5894;6404;4632;6521;6413;4820;4492;6404;4768;8067;5894;4632;7953;6521;6413;4492;8067;4768;7953;6404;4632;6521;7378;4632;4792;4768;4820;4735;;6555;7819;5894;6521;5965;4632;4792;4768;7378;;6555;4632;4792;4768;7378;;6555;6413;4492;4792;4768;7378;4632;6521;6555;6413;4492;4792;7378;4632;4768;4492;4632;6413;4820;7378;4771;4603;6413;4492;
87;4582;4411;4430;4381;4476;4268;5899;3955;6653;4174;7807;6417;4804;4714;6647;9263;6562;7848;;;4582;4411;4430;4268;4174;4804;6417;3955;6653;4476;4582;4411;4430;4268;4174;4804;6417;3955;6653;4476;4268;4582;4430;4174;3955;4411;4476;6653;4430;4582;4381;4476;5899;9263;4714;6647;4804;4268;6653;4174;4582;4381;4476;4430;4714;6647;4582;4381;4476;4430;4714;6647;4268;4582;4381;4476;4411;4430;6653;4174;4268;4582;4476;4411;4430;4174;4582;4411;4804;4268;4381;6579;4849;4582;4268;
88;4650;4709;6433;5992;4522;7461;6360;5938;6451;6513;7897;4807;7812;5930;6471;4641;6445;4868;;;4650;4709;6433;6360;5930;7461;6445;7812;5938;5992;4650;4709;6433;6360;5930;7461;6445;7812;5938;5992;6360;4709;4650;5930;7812;6433;5938;5992;7461;4709;6451;4522;4807;6360;6471;6513;4650;4868;5992;5930;4709;6451;4522;4807;6471;6513;4709;6451;4522;7461;6471;6513;6360;4709;5992;4522;6433;4650;6451;6513;6360;4709;4522;6433;4650;6513;6360;4709;6433;4641;6445;6401;7964;4709;6360;
89;7889;4462;4095;4769;3991;6500;5997;6608;4420;4770;7434;6563;7458;4733;6532;8020;;;;;6500;4462;4095;4769;3991;7889;5997;6608;4770;4420;6500;4462;4095;4769;3991;7889;5997;6608;4770;4420;6500;4095;3991;4769;5997;4462;4420;4770;4095;7889;4769;6532;4462;6500;4420;3991;6563;5997;4733;4770;7889;4769;6532;4095;4420;3991;7889;4769;6532;4095;4420;3991;7889;4095;4769;3991;4462;6500;4420;4770;7889;4095;4769;4462;6500;3991;4769;7458;5997;4462;7889;5966;4872;7889;4095;
90;6426;4778;4669;6573;4788;6424;7965;4777;6508;6629;5920;7873;6638;6512;6380;5957;6409;8000;;;6426;4778;6638;5920;6508;5957;7965;4777;7873;6380;6426;4778;6638;5920;6508;5957;7965;4777;7873;6380;6426;4778;5920;6508;7965;6638;7873;6380;6409;6424;6573;4788;4778;6638;6512;6629;6426;5957;6508;6380;6409;6573;4788;6424;6512;6629;6409;6573;4788;6424;6512;6629;6426;4778;6573;4788;5920;6424;6508;6629;6426;4778;4788;5920;6424;6629;6426;5920;4778;7965;6409;4523;6367;6426;4778;
91;4470;5883;6598;4700;6022;7460;4479;7946;6415;4694;5974;6010;4720;5887;6465;;;5901;;;4470;5883;6598;4479;6415;7460;6010;7946;5887;6022;4470;5883;6598;4479;6415;7460;6010;7946;5887;6022;5883;4470;6598;6415;6010;4479;6022;5887;4470;5883;4700;6022;6598;5901;6415;4694;7946;4479;5887;6465;4470;4700;6022;5883;5887;4694;4470;4700;6022;5883;6415;4694;5883;4470;4700;6022;4479;6598;6415;6465;5883;4470;4700;4479;6598;6415;4470;5883;6598;4720;6010;4705;8043;4470;5883;
92;4781;6017;4640;5906;4294;8023;5981;4483;7987;4516;5961;;4515;4408;6657;6431;7339;6603;;;4781;6017;4640;4483;4294;8023;;4515;5961;4516;4781;6017;4640;4294;4516;8023;;4483;5961;6657;4781;4640;4483;4294;6017;8023;5961;4516;6431;4640;5906;4516;;5981;7987;6657;4483;4781;4408;4294;4640;5906;4516;6431;7987;6657;4640;7987;4516;6431;5906;6657;4781;4640;4408;4294;8023;4483;5906;4516;4781;4640;4294;8023;4483;4516;4640;4483;4781;4294;6017;6418;9400;4640;4781;
93;6344;2471;5875;4171;4325;4865;6615;6023;4519;5975;9384;4397;7808;4617;4677;6575;6432;4876;;;9384;2471;5875;6615;4171;6344;4397;7808;6432;4519;9384;2471;5875;6615;4171;6344;4397;7808;6432;4519;5875;2471;6615;4171;7808;4397;6432;4519;6344;4876;4171;4677;2471;4865;4519;4325;5875;6023;4617;5975;4876;4171;4677;6344;4519;4325;4876;4171;4677;6344;4519;4325;5875;2471;4171;4325;4865;6344;4519;5975;5875;2471;4171;4865;6344;4519;2471;5875;6615;6023;4397;4666;9273;2471;6023;
94;4749;4883;4676;4505;;6385;4219;8042;4726;5890;6635;4710;7856;6379;6411;6446;4596;6558;;;4749;4883;4676;4219;;6635;4710;6558;4726;6411;4749;4883;4676;4219;;6635;4710;6558;4726;6411;4219;4883;4749;;4710;6635;6411;4726;4749;4676;4505;;4883;6385;6379;5890;4219;4596;4726;6411;4676;4505;6379;4749;4726;;4676;4505;6379;4749;4726;;4676;4749;4505;;4219;4883;4726;5890;4676;4749;;4219;4883;4505;4749;4676;4219;6635;6446;5976;4534;4749;4676;
95;4507;6610;4220;6622;4592;6583;7386;7785;6485;6350;4673;7447;4489;9458;6481;5889;7832;6628;;;6583;6610;7785;4507;4592;4673;7447;4220;6350;6481;6583;6610;7785;4507;4592;4673;7447;4220;6350;6481;6610;6583;4507;4592;4220;7785;7447;6350;4220;4507;6622;4592;5889;4673;6485;6350;6583;7386;9458;6481;4507;6622;4592;4220;6485;6350;4507;6622;4592;4220;6485;6350;6583;4507;6622;4592;4220;6610;6485;6350;6583;4507;4592;4220;6610;6622;4507;6583;7447;7785;6610;3867;7909;4507;6610;
96;5902;6599;4836;6345;7347;4740;6461;4725;5939;4514;7334;4734;6541;7366;4501;5909;6646;4404;;;4740;6599;4836;4725;6345;7334;6646;5902;4514;4501;4740;6599;4836;4725;6345;7334;6646;5902;4501;4514;4740;4836;4725;6345;7334;6599;5902;4514;6461;5902;5939;7347;4734;4836;7366;4501;6541;6646;6345;4514;6461;5939;7347;5902;7366;4514;6461;5939;7347;5902;7366;4514;5902;4836;6345;7347;4740;6599;5939;4514;5902;4836;6345;6599;4740;7347;4836;6461;5902;4740;7334;4754;9413;4836;5902;
