StaffId;TeamId;First Name;Last Name;Nick Name;Date Of Birth;Birthcity;Birthstate;Nationality_One;Nationality_Two;Nationality_Three;Retired
780;-1;Jon;Chabot;;1951-8-29;Verona;WI;The United States;;;1
781;-1;Vincent;Lesage;;1975-8-19;Longueuil;QC;Canada;;;0
782;18;Ernest;Makepeace;;1973-2-3;Donna;TX;The United States;;;0
783;-1;Mike;Morrow;;1957-1-11;New York;NY;The United States;;;1
784;-1;Pete;Mapleton;;1974-6-15;Chicago;IL;The United States;;;0
785;28;Damian;Stewart;;1968-5-31;West Lake Stevens;WA;The United States;;;0
786;-1;Rick;Hibbs;;1955-7-11;Houston;TX;The United States;;;1
787;-1;Adam;Dobson;;1955-12-24;Stockton;CA;The United States;;;1
788;-1;Jerry;Payne;;1968-5-8;Fresno;CA;The United States;;;0
789;-1;Jesse;Sprague;;1971-3-18;Vaughan;ON;Canada;;;0
790;20;Brett;Evelyn;;1972-6-10;Sherwood Park;AB;Canada;;;0
791;-1;Marvin;Norman;;1972-7-15;Joliet;IL;The United States;;;0
792;-1;Mike;Seigmiller;;1966-9-27;St. Catharines;ON;Canada;;;0
793;-1;Aubrey;Crowe;;1961-11-20;North Platte;NE;The United States;;;1
794;25;Kyle;Coaker;;1966-3-19;Valley Green;PA;The United States;;;0
795;-1;Arnold;Murphy;;1950-10-19;Columbus;OH;The United States;;;1
796;-1;Vincent;Manning;;1954-7-20;Hampden;ME;The United States;;;1
797;-1;Jordan;Stewart;;1964-9-22;San Diego;CA;The United States;;;0
798;32;Brendan;Haney;;1964-9-13;South Riding;VA;The United States;;;0
799;-1;Mike;MacGugan;;1955-8-17;Walterboro;SC;The United States;;;0
800;-1;Bob;Huff;;1950-3-31;Hoffman Estates;IL;The United States;;;1
801;-1;Mitch;Burke;;1967-4-16;Hanover Park;IL;The United States;;;0
802;33;Willie;Hoddinot;;1963-12-5;North Kingstown;RI;The United States;;;0
803;-1;Dan;Riddle;;1956-4-7;Verona;WI;The United States;;;1
804;-1;Brayden;Lavik;;1970-9-27;Mississauga;ON;Canada;;;0
805;-1;Malik;Tremblay;;1967-5-26;Ottawa;ON;Canada;;;0
806;34;Justin;Aviani;;1972-12-15;Langley;BC;Canada;;;0
807;-1;Carlton;McCready;;1956-4-21;Matawan;NJ;The United States;;;1
808;-1;Howard;Glass;;1951-10-4;Philadelphia;PA;The United States;;;1
809;-1;Lukas;McNamee;;1950-7-24;Calgary;AB;Canada;;;1
810;35;Mark;Charron;;1978-9-26;Chamblee;GA;The United States;;;0
811;-1;Brian;McClain;;1975-12-17;Evanston;IL;The United States;;;0
812;-1;Premjeet;Ghuman;;1955-6-16;Surrey;BC;Canada;;;1
813;-1;Tommy;Lovett;;1955-7-21;Waterbury;CT;The United States;;;1
814;37;Nick;Arnason;;1967-7-29;Roberts Creek;BC;Canada;;;0
815;-1;Jimmy;Synan;;1965-6-13;Clearfield;UT;The United States;;;0
816;-1;Clinton;Mortensen;;1958-12-6;Hamilton;ON;Canada;;;1
817;-1;David;Burbach;;1969-4-28;Colorado Springs;CO;The United States;;;0
818;39;Neal;Creagh;;1971-11-5;Harper Woods;MI;The United States;;;0
819;-1;Gus;Myles;;1952-3-11;Saraland;AL;The United States;;;1
820;113;Leon;Stewart;;1972-7-25;Allegany;NY;The United States;;;0
821;30;Rodney;Spalton;;1960-7-7;Torrance;CA;The United States;;;0
822;-1;Duane;van Buskirk;;1956-7-6;Louisville;KY;The United States;;;1
823;-1;Greg;Cleaves;;1954-12-17;Ellenville;NY;The United States;;;1
824;31;Stan;Powers;;1955-8-1;Tulsa;OK;The United States;;;0
825;54;Bonifacy;Lakomiec;;1972-8-26;Koryukivka;CHE;Ukraine;;;0
826;105;Hunter;Evans;;1965-5-26;Toronto;ON;Canada;;;0
827;-1;Yanick;Robidoux;;1951-4-30;Longueuil;QC;Canada;;;1
828;109;Sammy;Mitchell;;1974-4-24;Los Angeles;CA;The United States;;;0
829;31;Will;McCoy;;1957-5-1;Panama City;FL;The United States;;;0
830;-1;Ed;Lucas;;1955-8-22;Nanakuli;HI;The United States;;;1
831;61;Leland;DeBello;;1973-2-6;Old Bridge;NJ;The United States;;;0
832;111;Caelan;Vernon;;1977-6-3;Richmond;BC;Canada;;;0
833;32;Robert;Holtzhouser;;1958-1-8;Barker Heights;NC;The United States;;;0
834;55;Ron;Merrill;;1973-12-15;Round Lake Beach;IL;The United States;;;0
835;32;Ken;Hoffer;;1959-7-29;Chesapeake;VA;The United States;;;0
836;-1;Ed;Willis;;1951-3-2;Brooklyn;NY;The United States;;;1
837;-1;Tynan;Lounsbury;;1956-11-15;Rohnert Park;CA;The United States;;;1
838;114;Phil;Purefoy;;1974-11-1;Temple;OK;The United States;;;0
839;-1;Pat;Schultz;;1951-3-29;Picture Rocks;AZ;The United States;;;1
840;33;Stuart;Savarin;;1962-11-18;Toronto;ON;Canada;;;0
841;115;Lyle;Pernell;;1965-5-29;Madison;SD;The United States;;;0
842;33;Júlio;Careras;;1963-8-28;Brooklyn;NY;The United States;;;0
843;-1;Nate;Gerhardt;;1950-11-4;New York;NY;The United States;;;1
844;34;Simon;Séguin;;1953-3-25;Plano;TX;The United States;;;0
845;34;Marcel;McLaughlin;;1953-10-2;Markham;ON;Canada;;;0
846;116;Wayne;Cardwell;;1974-6-2;Waterford;CA;The United States;;;0
847;34;Mun;Seong-gi;;1959-12-21;Seosan;CHU;South Korea;;;0
848;117;Eddie;Halkett;;1967-12-8;West Paterson;NJ;The United States;;;0
849;61;Richard;O'Carey;;1977-6-3;New York;NY;The United States;;;0
850;34;Cody;Smith;;1955-10-30;Lethbridge;AB;Canada;;;0
851;-1;Fred;Ward;;1955-1-11;Columbia;SC;The United States;;;1
852;35;Vasily;Shakurov;;1956-7-5;Makhachkala;DAG;Russia;;;0
853;-1;Lloyd;O'Neill;;1950-7-1;Union;SC;The United States;;;1
854;-1;Brandon;Hatfield;;1957-11-29;Greeley;CO;The United States;;;1
855;114;Bradley;Albright;;1964-10-19;Brighton;NY;The United States;;;0
856;55;Dong;Huaishan;;1969-1-27;Shaoxing;ZHE;China;;;0
857;35;Matt;Rose;;1957-5-17;West Livingston;TX;The United States;;;0
858;118;Scott;Turnbull;;1969-3-5;Wasaga Beach;ON;Canada;;;0
859;-1;Joel;Quenneville;;1958-9-15;Windsor;ON;Canada;The United States;;1
860;26;Todd;Richards;;1966-10-20;Crystal;MN;The United States;;;0
861;-1;John;Tortorella;Torts;1958-6-24;Bolton;MA;The United States;;;1
862;-1;Ulf;Samuelsson;;1960-12-24;Fagersta;VäS;Sweden;;;1
863;28;John;McConnell;;1955-1-1;Columbus;OH;The United States;;;0
864;25;Vincent;Viola;;1956-1-1;Brooklyn;NY;The United States;;;0
865;-1;Craig;Leipold;;1952-1-1;Racine;WI;The United States;;;1
866;-1;David;Poile;;1949-2-15;Toronto;ON;Canada;;;1
867;-1;Tom;Cigarran;;1942-1-1;New York;NY;The United States;;;1
868;56;Kevin;Cheveldayoff;;1970-2-4;Saskatoon;SK;Canada;;;0
869;27;Mark;Chipman;;1961-1-1;Winnipeg;MB;Canada;;;0
870;29;Bob;Woods;;1968-1-24;Leroy;SK;Canada;;;0
871;27;Jamie;Kompon;;1966-9-18;Thunder Bay;ON;Canada;;;0
872;45;Tim;Army;;1963-4-26;Providence;RI;The United States;;;0
873;26;Dan;Hinote;;1977-1-30;Leesburg;FL;The United States;;;0
874;29;Frederic;Chabot;;1968-2-12;Saguenay;QC;Canada;;;0
875;25;Robb;Tallas;;1973-3-20;Edmonton;AB;Canada;;;0
876;29;Darby;Hendrickson;;1972-8-28;Richfield;MN;The United States;;;0
877;47;Chris;Terreri;;1964-11-15;Providence;RI;The United States;;;0
878;47;Brent;Thompson;;1971-1-9;Calgary;AB;Canada;;;0
879;29;Bill;Guerin;;1970-11-9;Worcester;MA;The United States;;;0
880;42;Jay;Woodcroft;;1976-8-11;Toronto;ON;Canada;;;0
881;-1;Brad;Shaw;;1964-4-28;Cambridge;ON;Canada;;;0
882;-1;Gary;Agnew;;1960-5-24;Niagara Falls;ON;Canada;;;1
883;52;Scott;Gordon;;1963-6-6;Brockton;MA;The United States;;;0
884;-1;Rick;St. Croix;;1955-1-3;Kenora;ON;Canada;;;1
885;-1;Pascal;Vincent;;1971-9-22;Laval;QC;Canada;;;0
886;-1;Charlie;Huddy;;1959-6-2;Oshawa;ON;Canada;;;1
887;27;Wade;Flaherty;;1968-1-11;Terrace;BC;Canada;;;0
888;28;Peter;Dineen;;1960-11-19;Kingston;ON;Canada;;;0
889;-1;Sam;McMaster;;1936-4-15;Vancouver;BC;Canada;;;1
890;28;Greg;Drechsel;;1965-1-1;Potsdam;NY;The United States;;;0
891;28;Milan;Tichy;;1969-9-22;Plzen;PLZ;Czech Republic;;;0
892;40;Scott;White;;1968-3-15;Ormstown;QC;Canada;;;0
893;25;Jason;Bukala;;1976-1-1;London;ON;Canada;;;0
894;25;Fred;Bandel;;1958-1-1;Hopkins;MN;The United States;;;0
895;25;Jari;Kekäläinen;;1971-12-30;Oulu;NOS;Finland;;;0
896;-1;Peter;Mahovlich;;1946-10-10;Timmins;ON;Canada;;;1
897;25;Vadim;Podrezov;;1965-9-29;Moscow;MOS;Russia;;;0
898;25;Al;Tuer;;1963-7-19;North Battleford;SK;Canada;;;0
899;13;Brent;Flahr;;1974-6-25;Comox;BC;Canada;;;0
900;29;Brad;Bombardir;;1972-5-5;Powell River;BC;Canada;;;0
901;-1;Guy;Lapointe;;1948-5-18;Montreal;QC;Canada;;;1
902;29;Craig;Channell;;1962-4-24;Vancouver;BC;Canada;;;0
903;29;Paul;Charles;;1957-1-1;Winnipeg;MB;Canada;;;0
904;29;Brian;Fortin;;1957-1-1;Kamloops;BC;Canada;;;0
905;29;Christopher;Hamel;;1960-12-24;Calgary;AB;Canada;;;0
906;29;Brian;Hunter;;1973-1-30;Woodbury;MN;The United States;;;0
907;29;Marty;Nanne;;1967-7-21;Edina;MN;The United States;;;0
908;29;Ernie;Vargas;;1964-3-10;St. Paul;MN;The United States;;;0
909;29;Ricard;Persson;;1969-8-24;Östersund;JäM;Sweden;;;0
910;29;Pavel;Routa;;1960-12-24;Nám&#283;st nad Oslavou;JHM;Czech Republic;;;0
911;-1;Jamie;Hislop;;1954-1-20;Sarnia;ON;Canada;;;1
912;29;Chris;Kelleher;;1975-3-23;Belmont;MA;The United States;;;0
913;-1;Rick;Dudley;;1949-1-31;Toronto;ON;Canada;;;1
914;-1;Larry;Carriere;;1952-1-30;Montreal;QC;Canada;;;1
915;49;Scott;Ford;;1979-12-24;Fort St. John;BC;Canada;;;0
916;26;Jeff;Kealty;;1976-4-9;Newton;MA;The United States;;;0
917;-1;Nick;Beverley;;1947-4-21;Toronto;ON;Canada;;;1
918;26;Shawn;Dineen;;1958-3-1;Detroit;MI;Canada;The United States;;0
919;26;Tom;Nolan;;1973-9-3;Springfield;MA;The United States;;;0
920;26;Ryan;Rezmierski;;1971-1-1;Ann Arbor;MI;The United States;;;0
921;26;Glen;Sanders;;1981-10-12;Saugus;MA;The United States;;;0
922;26;David;Westby;;1960-12-24;Vancouver;BC;Canada;;;0
923;26;Martin;Bakula;;1970-6-22;Kladno;STR;Czech Republic;;;0
924;26;Lucas;Bergman;;1974-8-20;Stockholm;STO;Sweden;;;0
925;26;Janne;Kekäläinen;;1970-10-14;Kuopio;NSA;Finland;;;0
926;51;Randy;Lee;;1961-9-27;Ottawa;ON;Canada;;;0
927;34;Randy;Sexton;;1959-7-24;Brockville;ON;Canada;;;0
928;33;John;Ferguson;;1969-7-7;Montreal;QC;Canada;;;0
929;43;Kevin;McDonald;;1963-1-1;Lawrence;MA;The United States;;;0
930;-1;Mike;Antonovich;;1951-10-18;Calumet;MN;The United States;;;1
931;-1;Marshall;Davidson;;1955-1-1;Ottawa;ON;Canada;;;1
932;28;Ville;Siren;;1964-2-11;Tampere;PIR;Finland;;;0
933;26;Rob;Cowie;;1967-11-3;Toronto;ON;Canada;;;0
934;27;Jari;Grönstrand;;1962-11-14;Tampere;PIR;Finland;;;0
935;29;Judd;Brackett;;1976-1-1;Harwich;MA;The United States;;;0
936;32;Craig;Heisinger;;1962-10-16;Winnipeg;MB;Canada;;;0
937;-1;Jimmy;Roy;;1975-9-22;Sioux Lookout;ON;Canada;;;0
938;27;Marcel;Comeau;;1952-3-1;Edmonton;AB;Canada;;;0
939;27;Mark;Hillier;;1968-1-1;Toronto;ON;Canada;;;0
940;27;Evgeny;Bogdanovich;;1960-12-24;St. Petersburg;SAI;Russia;;;0
941;27;Scott;Scoville;;1975-10-13;Swift Current;SK;Canada;;;0
942;27;Mark;Dobson;;1959-1-1;Stirling;ON;Canada;;;0
943;27;Chris;Snell;;1971-7-12;Regina;SK;Canada;;;0
944;27;Pat;Carmichael;;1962-1-1;Detroit;MI;The United States;;;0
945;27;Yanick;Lemay;;1971-1-1;Ottawa;ON;Canada;;;0
946;27;Brian;Renfrew;;1972-5-1;Fairbanks;AK;The United States;;;0
947;27;Max;Giese;;1987-9-5;Janesville;WI;The United States;;;0
948;-1;Bob;Owen;;1954-1-1;Kelowna;BC;Canada;;;1
949;-1;Jack;Birch;;1954-1-1;Peterborough;ON;Canada;;;1
950;27;Peter;Ratchuk;;1977-9-10;Buffalo;NY;The United States;;;0
951;-1;Bruce;Southern;;1953-1-1;Winnipeg;MB;Canada;;;1
952;65;Cail;MacLean;;1976-9-30;Middleton;NS;Canada;;;0
953;52;Jim;Brooks;;1960-12-24;Pittsburgh;PA;The United States;;;0
954;47;Eric;Boguniecki;;1975-5-6;New Haven;CT;The United States;;;0
955;47;Jon;Ledecky;;1960-1-1;New York;NY;The United States;;;0
956;36;Michael;Kahn;;1964-1-1;Atlanta;GA;The United States;;;0
957;75;Geordie;Kinnear;;1973-7-9;Simcoe;ON;Canada;;;0
958;48;Chris;Lawrence;;1982-3-8;Haverford Township;PA;The United States;;;0
959;-1;Pat;Boller;;1973-1-1;Potsdam;NY;The United States;;;0
960;-1;Troy;Mann;;1969-9-3;Campbellton;NB;Canada;;;0
961;45;Todd;Fredrickson;;1962-1-1;Grosse Pointe Woods;MI;The United States;;;0
962;38;Dan;Gilbert;;1962-1-17;Detroit;MI;The United States;;;0
963;44;Darren;Abbott;;1968-1-1;Canton;NY;The United States;;;0
964;49;Harris;Turer;;1966-1-1;Milwaukee;WI;The United States;;;0
965;25;Paul;Fenton;;1959-12-22;Springfield;MA;The United States;;;0
966;29;Dean;Evason;;1964-8-22;Flin Flon;MB;Canada;;;0
967;26;Stan;Drulia;;1968-1-5;Elmira;NY;The United States;;;0
968;27;Bill;Scott;;1980-1-1;Markham;ON;Canada;;;0
969;42;Matt;Riley;;1968-1-1;Keokuk;IA;The United States;;;0
970;56;Robert;Esche;;1978-1-22;Whitesboro;NY;The United States;;;0
971;121;John;Slaney;;1972-2-7;St. John's;NL;Canada;;;0
972;-1;H. Larue;Renfro;;1939-1-1;New Orleans;LA;The United States;;;1
973;34;Bob;Janosz;;1976-9-26;Passaic;NJ;The United States;;;0
974;37;Gordon;Kaye;;1972-1-1;Bloomington;IN;The United States;;;0
975;37;Mark;Bernard;;1969-2-1;Hamilton;ON;Canada;England;;0
976;41;Ben;Simon;;1978-6-14;Shaker Heights;OH;The United States;;;0
977;-1;Peter;Holt;;1948-7-26;Peoria;IL;The United States;;;1
978;103;Brad;Larsen;;1977-6-28;Nakusp;BC;Canada;;;0
979;46;Danny;Williams;;1949-8-4;St. John's;NL;Canada;;;0
980;31;Howard;Dolgon;;1959-1-1;Brooklyn;NY;The United States;;;0
981;37;Derek;King;;1967-2-11;Hamilton;ON;Canada;;;0
982;54;Ron;Burkle;;1952-11-12;Pomona;CA;The United States;;;0
983;26;John;Hynes;;1975-2-10;Warwick;RI;The United States;;;0
984;55;John;Tortora;;1970-1-1;Princeton;NJ;The United States;;;0
985;-1;Roy;Sommer;;1957-4-5;Oakland;CA;The United States;;;1
986;45;David;Cunniff;;1970-10-9;Boston;MA;The United States;;;0
987;26;Dan;Lambert;;1970-1-12;Winnipeg;MB;Canada;;;0
988;42;Dave;Manson;Charlie;1967-1-27;Prince Albert;SK;Canada;;;0
989;56;Pat;Conacher;;1959-5-1;Edmonton;AB;Canada;;;0
990;43;Jamie;Heward;;1971-3-30;Regina;SK;Canada;;;0
991;27;Dave;Lowry;;1965-2-14;Ottawa;ON;Canada;;;0
992;-1;Ryan;Mougenel;;1976-3-2;Toronto;ON;Canada;;;0
993;33;John;Wroblewski;;1981-5-26;Neenah;WI;The United States;;;0
994;31;Eric;Veilleux;;1972-2-20;Quebec City;QC;Canada;;;0
995;109;Jean-François;Houle;;1975-1-14;Quebec City;QC;Canada;;;0
996;31;Benoît;Groulx;;1968-1-30;Gatineau;QC;Canada;;;0
997;28;Danny;Flynn;;1957-9-5;Dartmouth;NS;Canada;;;0
998;28;Jarmo;Kekäläinen;;1966-7-3;Tampere;PIR;Finland;;;0
999;37;Peter;Aubry;;1977-5-19;Windsor;ON;Canada;England;;0
1000;27;Mark;White;;1978-2-7;Woburn;MA;The United States;;;0
1001;28;Dave;Peters;;1960-1-1;Portland;OR;The United States;;;0
1002;34;Seth;Appert;;1974-8-9;Cottage Grove;WI;The United States;;;0
1003;46;Joël;Bouchard;;1974-1-23;Montreal;QC;Canada;;;0
1004;27;Paul;Maurice;;1967-1-30;Sault Ste. Marie;ON;Canada;;;0
1005;39;Jay;Varady;;1977-9-10;Cahokia;IL;The United States;;;0
1006;-1;Kris;Knoblauch;;1978-9-24;Imperial;SK;Canada;;;0
1007;56;Trent;Cull;;1973-9-27;Georgetown;ON;Canada;;;0
1008;-1;Mark;Dennehy;;1967-10-18;El Centro;CA;The United States;;;0
1009;41;Matt;MacDonald;;1983-3-16;Niagara Falls;ON;Canada;;;0
1010;26;Ben;Vanderklok;;1981-11-30;Welland;ON;Canada;;;0
1011;-1;Drew;Bannister;;1974-4-9;Belleville;ON;Canada;;;0
1012;-1;David;Bell;;1960-1-1;Wiarton;ON;Canada;;;1
1013;-1;Mike;Eaves;;1956-6-10;Denver;CO;The United States;;;1
1014;26;Jean-Philippe;Glaude;;1981-4-28;Newmarket;ON;Canada;;;0
1015;53;Leo;Luongo;;1984-1-1;Montreal;QC;Canada;;;0
1016;28;Stephane;LeBlanc;;1960-12-24;Campbellton;NB;Canada;;;0
1017;46;Marco;Marciano;;1982-1-1;Laval;QC;Canada;Italy;;0
1018;32;Éric;Dubois;;1970-5-10;Moncton;NB;Canada;;;0
1019;87;Gilles;Bouchard;;1971-2-18;Normandin;QC;Canada;;;0
1020;-1;François;Allaire;;1959-10-11;Madawaska Valley;ON;Canada;;;1
1021;28;Blake;Geoffrion;;1960-12-24;Plantation (Sarasota County);FL;The United States;Canada;;0
1022;25;Bryan;McCabe;;1975-6-8;St. Catharines;ON;Canada;;;0
1023;67;Neil;Graham;;1985-4-21;Calgary;AB;Canada;;;0
1024;50;Sergei;Brylin;;1974-1-13;Moscow;MOS;Russia;;;0
1025;34;Adam;Mair;;1960-12-24;Hamilton;ON;Canada;;;0
1026;50;David;Blitzer;;1970-1-1;Scotch Plains;NJ;The United States;;;0
1027;21;Derek;Wilkinson;;1974-7-29;Montreal;QC;Canada;;;0
1028;41;Ryan;Martin;;1970-1-1;Hartford;CT;The United States;;;0
1029;44;Richard;Seeley;;1979-4-30;Powell River;BC;Canada;;;0
1030;30;Emanuel ;Viveiros;Manny;1966-1-8;St. Albert;AB;Austria;Canada;;0
1031;-1;Karl;Taylor;;1971-3-4;North Bay;ON;Canada;;;0
1032;35;Domenic;Pittis;;1974-10-1;Calgary;AB;Canada;;;0
1033;35;Brad;Pascall;;1970-7-29;Coquitlam;BC;Canada;;;0
1034;46;Nick;Carriere;;1979-8-28;Montreal;QC;Canada;;;0
1035;56;Jason;King;;1981-9-14;Corner Brook;NL;Canada;;;0
1036;53;Doug;Janik;;1980-3-26;Agawam;MA;The United States;;;0
1037;55;Joe;Will;;1968-1-1;Bloomington;MN;The United States;;;0
1038;9;Barry;Hanrahan;;1968-1-2;Gloucester;MA;The United States;;;0
1039;41;Mike;Knuble;;1972-7-4;Toronto;ON;Canada;;;0
1040;-1;Kenny;McCudden;;1962-1-1;Chicago;IL;The United States;;;0
1041;-1;Jarkko;Ruutu;;1975-8-23;Helsinki;UUS;Finland;;;0
1042;28;Fredrik;Modin;;1974-10-8;Sundsvall;VäS;Sweden;;;0
1043;28;Josef;Boumedienne;;1978-1-12;Stockholm;STO;Sweden;Finland;;0
1044;28;Derek;Ginnell;;1991-2-21;Flin Flon;MB;Canada;;;0
1045;28;Chris;Morehouse;;1987-6-28;Saint John;NB;Canada;;;0
1046;28;Bob;Halkidis;;1966-3-5;Toronto;ON;Canada;Greece;;0
1047;28;Doug;MacDonald;;1969-2-8;Assiniboia;SK;Canada;;;0
1048;25;Bill;Zito;;1964-9-16;Pittsburgh;PA;The United States;;;0
1049;-1;Randy;Ladouceur;;1960-6-30;Laval;QC;Canada;;;1
1050;114;Tony;Borgford;;1975-1-1;Regina;SK;Canada;;;0
1051;25;Paul;Krepelka;;1968-1-3;Arlington;MA;The United States;;;0
1052;25;Neil;Little;;1971-12-18;Medicine Hat;AB;Canada;;;0
1053;25;Bill;Ryan;;1985-10-23;Milton;MA;The United States;;;0
1054;53;Eric;Joyce;;1978-9-16;Quincy;MA;The United States;;;0
1055;53;Nathan;Costa;;1980-1-1;Springfield;MA;The United States;;;0
1056;29;Darren;Yopyk;;1976-6-25;St. Paul;AB;Canada;;;0
1057;25;Andrew;Brunette;;1973-8-24;Valley East;ON;Canada;;;0
1058;29;Richard;Park;;1976-5-27;Seoul;SEO;The United States;South Korea;;0
1059;26;Brian;Poile;;1978-1-1;San Diego;CA;The United States;;;0
1060;26;Scott;Nichol;;1974-12-31;Edmonton;AB;Canada;;;0
1061;26;Chris;Drury;;1976-8-20;Trumbull;CT;The United States;;;0
1062;27;Vladimir;Havluj;;1982-8-28;Kladno;STR;Czech Republic;;;0
1063;-1;Ryan;Johnson;;1976-6-14;Thunder Bay;ON;Canada;;;0
1064;27;Scott;Robson;;1981-1-1;Randolph;MA;The United States;;;0
1065;27;Kjell;Dahlin;;1963-3-2;Sundsvall;VäS;Sweden;;;0
1066;28;Boris;Yemelyanov;;1967-5-16;Novokuznetsk;KEM;Belarus;Russia;;0
1067;-1;Paul;Boutilier;;1963-5-3;Sydney;NS;Canada;;;0
1068;28;Mike;Vogt;;1972-1-1;Canton;OH;The United States;;;0
1069;25;Dave;DiNapoli;;1972-1-1;North Branford;CT;The United States;;;0
1070;-1;John;Worley;;1958-1-1;Ridley Park;PA;The United States;;;1
1071;26;Andy;Hosler;;1970-1-1;Monroe;MI;The United States;;;0
1072;27;Rob;Milette;;1975-1-1;Winnipeg;MB;Canada;;;0
1073;31;Steve;Bowen;;1981-3-27;Laguna Hills;CA;The United States;;;0
1074;-1;Kurtis;Landry;;1958-3-27;Richmond;BC;Canada;;;1
1075;-1;Josh;Spencer;;1957-12-17;Philadelphia;PA;The United States;;;1
1076;34;David;Hamilton;;1975-11-28;Putnam;CT;The United States;;;0
1077;-1;Ralph;Russell;;1958-11-12;New York;NY;The United States;;;1
1078;36;Bryn-Marc;Conaway;;1965-11-6;Asheboro;NC;The United States;;;0
1079;37;D.J.;Jones;;1978-7-18;Horsham;PA;The United States;;;0
1080;38;Tom;Bourdon;;1962-7-12;Oxford;CT;The United States;;;0
1081;39;Ryan;Lythgoe;;1979-4-26;Charleston;SC;The United States;;;0
1082;40;Edwin;Schneider;;1978-12-3;Baton Rouge;LA;The United States;;;0
1083;-1;Michael;Failes;;1961-8-8;El Mirage;AZ;The United States;;;1
1084;42;Don;Sibley;;1970-8-30;Holmen;WI;The United States;;;0
1085;43;Bob;Hughes;;1984-11-2;Rochester;MN;The United States;;;0
1086;44;Frank;Runion;;1981-2-22;Longview;TX;The United States;;;0
1087;-1;Don;Tull;;1956-1-18;National City;CA;The United States;;;1
1088;46;Nathan;Baluik;;1965-2-24;Edmonton;AB;Canada;;;0
1089;47;Christian;Kelly;;1973-2-8;Ridge Manor;FL;The United States;;;0
1090;-1;Steve;Fields;;1957-8-12;Redmond;WA;The United States;;;1
1091;49;Randy;Durkin;;1967-10-11;Long Beach;CA;The United States;;;0
1092;50;Scott;Stanhibel;;1966-12-27;Tinley Park;IL;The United States;;;0
1093;51;Greg;MacGorry;;1958-4-1;Houston;TX;The United States;;;0
1094;52;Don;Ceccacci;;1977-12-22;Chicago;IL;The United States;;;0
1095;53;Michael;Price;;1982-12-13;St. Charles;IL;The United States;;;0
1096;54;Roger;Farmer;;1967-12-30;Mableton;GA;The United States;;;0
1097;55;Ramón;Garza;;1963-9-29;Old Bethpage;NY;The United States;;;0
1098;56;John;Lockhart;;1983-7-11;Kent;WA;The United States;;;0
1099;28;Basil;McRae;;1961-1-5;Beaverton;ON;Canada;;;0
1100;28;Simon;Barrette;;1984-11-22;Toronto;ON;Canada;;;0
1101;28;Rich;Sutter;;1963-12-12;Viking;AB;Canada;;;0
1102;25;Gregory;Campbell;;1983-12-17;London;ON;Canada;;;0
1103;25;Richard;Pollock;;1986-1-1;Haslett;MI;The United States;;;0
1104;25;Rhys;Jessop;;1970-1-1;Thorold;ON;Canada;;;0
1105;25;Mike;Fairman;;1970-1-1;Rio Rico;AZ;The United States;;;0
1106;29;Shep;Harder;;1976-2-4;Minneapolis;MN;The United States;;;0
1107;29;Martin;Gendron;;1974-2-15;Salaberry-de-Valleyfield;QC;Canada;;;0
1108;29;Ivan;Nepryaeu;;1970-1-1;Montreal;QC;Canada;;;0
1109;36;Myles;Fee;;1981-1-24;Dauphin;MB;Canada;;;0
1110;51;Tom;Anselmi;;1956-1-1;Toronto;ON;Canada;;;0
1111;38;Steve;McCarthy;;1981-2-3;Trail;BC;Canada;;;0
1112;41;Brian;Mahoney-Wilson;;1986-4-7;Boston;MA;The United States;;;0
1113;48;Joey;Mormina;;1982-6-29;Montreal;QC;Canada;Italy;;0
1114;29;Brett;McLean;;1978-8-14;Comox;BC;Canada;;;0
1115;52;Kerry;Huffman;;1968-1-3;Peterborough;ON;Canada;;;0
1116;106;Marty;Johnston;;1978-11-17;Ottawa;ON;Canada;;;0
1117;44;Jaroslav;Modry;;1971-2-27;Ceské Budejovice;JIH;Czech Republic;;;0
1118;1;Jay;Leach;;1979-9-2;Syracuse;NY;The United States;;;0
1119;33;Trent;Whitfield;;1977-6-17;Frobisher;SK;Canada;;;0
1120;34;Toby;Petersen;;1978-10-27;Minneapolis;MN;The United States;;;0
1121;34;Russ;Brandon;;1967-1-1;Syracuse;NY;The United States;;;0
1122;53;Michael;Ryan;;1980-5-16;Boston;MA;The United States;;;0
1123;35;Brian;Petrovek;;1955-3-24;Norwood;MA;The United States;;;0
1124;35;Colin;Zulianello;;1978-7-8;Thunder Bay;ON;Canada;;;0
1125;31;Ken;Klee;;1971-4-24;Indianapolis;IN;The United States;;;0
1126;40;Brad;Alberts;;1970-1-1;Dallas;TX;The United States;;;0
1127;39;Steve;Potvin;;1974-9-26;Montreal;QC;Canada;;;0
1128;39;Bob;Hoffman;;1970-1-1;Cuyahoga Falls;OH;The United States;;;0
1129;80;Justin;Forrest;J.D.;1981-4-14;Auburn;NY;The United States;;;0
1130;28;Manny;Legace;;1973-2-4;Toronto;ON;Canada;;;0
1131;25;Derek;MacKenzie;;1981-6-11;Terrebonne;QC;Canada;;;0
1132;25;Robbie;Mattingly;;1987-6-19;Woodridge;IL;The United States;;;0
1133;25;Jay;Peck;;1960-6-13;Garden Grove;CA;The United States;;;0
1134;26;Mike;Hazlett;;1961-9-10;Chesapeake;VA;The United States;;;0
1135;26;Gabriel;Borges;;1981-11-4;Orange;CA;The United States;;;0
